ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,28,0,"","","w w w w w w w w w w, w w w w w w w w w w, w w w w w w w w;"
258,47,0,"","","w w w w w w w w w, w, w, w w w w w w w w w w w w w, w w w w w: w Twt w w, w w w w w, w w w w w w, w w w."
259,23,0,"","","w w w w w, w w w w? w w w w w, w w w w w w w w w."
260,44,0,"","","w w w w w, w w w w? w w w, w w. w w w, w w w w w w w w, w w w w w w w w w w; w w w w w w w w w."
261,21,0,"","","w w w w w w w w w w, w w w w w w w w w w w?"
262,32,0,"","","w w w w w w w w, w w w w w w w w, w, w w w w w; w, w, w w w w w w w w."
263,19,0,"","","w w w w w w, w w w, w w w w. w w w, w Twt w."
264,16,0,"","","w w w w w, w Twt w? w w w w, w Twt w w."
265,28,0,"","","w w w w w, w, w w w, w w, w w w: w w w w w w, w w w Twt w w w w."
266,48,0,"","","w w w w w, w w w, w w w w w w w w w w w w w w: w w w w w w Twt w w w, w w w w Twt w w w, w w w w w w w w."
267,19,3,"","","w w w w w w w, w w w; w w w w w w Twt w w:"
268,36,0,"","","w w w, w w, w w w w, w w, w w w w w, w w w w w w Dwd, w w w w w w; w w w w w w w."
269,25,2,"","","w w w w w w w w w w, w Twt w? w w w, w Twt w w w w w, w w."
270,20,0,"","","w w w w w, w w w w w w w w w w w w w Dwd w?"
271,23,0,"","","w w w w w w w w, w w, w w, Twt w w w. w w w w w w w."
272,25,0,"","","w w w w w, w w Twt w w w; w w w w w w w, w, w w w w Dwd w."
273,13,1,"","","w w w w w w w w w w w w w:"
274,23,0,"","","(w w w w w w w w w Tw w wt w w: w, Tw wt w w w w w w.)"
275,15,0,"","","w w w w w w w w w w: w w w w w!"
276,27,0,"","","w Twt w w w, w Twt w w w w w w; w w w w w w w, w w w w w w w."
277,44,0,"","","w w w w, Tw w wt w w, w Tw w wt w, w w, w w w w: w w w w w w w w w w w, w w w w, Tw w w wt w Twt w w w."
278,27,0,"","","w w w w w w, w w w w w w, w w w w w w w, w w w w w w w w."
279,28,0,"","","w w w Twt w w w w w w, w w w w w w w w: w w w w w, w w w w w."
280,24,0,"","","w w w w, w w w, w w w w w, w Twt w, w w w w w w w w w."
281,20,0,"","","w w w w w w w w w w w! w w, Tw wt w w w w w."
282,26,0,"","","w w w w w, w w w: w w w w w w w: w w w w w w, w w w w w."
283,11,0,"","","w w w w w, w w w w w w!"
513,46,0,"","","w w w w w w w, w w w w w Dwd, w, w w w w w w w w w w w? w w Dwd w w w, w w. w w w, w w w w w? w w w, w w."
514,19,0,"","","w w w w w, w w w w w, w w w, w w w w w w."
515,24,0,"","","w w w w Twt w w w w w w, w w w w w: w w w w w w w w."
516,32,0,"","","w w w w w w, w w w w w w w w w w w. w w w w, w, Twt w w w w Tw wt w w w."
517,35,2,"","","w w w w w w w w w, w w w w, w Twt w w w Dwd, w w w w w w w w w, Twt w w, w w w w."
518,24,0,"","","w w w Dwd w w w w w w: w w w w w w w w, w w w w w w."
519,29,0,"","","w w w w w w w, w w w w: w w w w w w, w w w w w w w w w w w w."
520,22,1,"","","w w w w w w, w w w w, w w w w w w, w w w w w w;"
521,23,0,"","","w w w w w w, w w w w, w w w, w w w, w w w, w w w w."
522,25,0,"","","w w w Twt w w w w w w w w w w, w w w w. w w w w w w w."
523,20,0,"","","w w w w w w w w w w w w w w w w w w w w."
524,21,2,"","","w w w w w w, w w w w w w w w w, w w w w w w."
525,44,0,"","","w w w w w w, w w w w w, w w, w w w w w w w w: w w w w, w w w w w w w w w, w w w w w w w w w w."
526,21,0,"","","w w w w w, w w w w w w, w w w w. w w w, w w w."
527,26,0,"","","w w w w w w w w w w w, w Twt w w w w w w, w w w w w w w."
528,33,0,"","","w w w w w w w w w w, w Twt w w w w w w; w w w w w: w w w w w w, w Twt w w."
529,23,0,"","","w w w w w w w w w; w w w w, w w w w w, w w w w w."
530,24,1,"","","w w w w w w w w, w, w w, w w: w w Tw wt w w w w w w w."
531,22,0,"","","w w w w w; w w w w w w w w w w w w w w w w w."
532,15,0,"","","w w w w w, w w, Twt w w? w w w, w Twt."
533,41,0,"","","w w w w w, w w w w w w w w w w w, w w w w w w w w w w, w w w w w. w w w w w w w w w w."
534,32,0,"","","w w w w w w, w w w w w w: w w w w w w w w? w w w w w w w w w w w w?"
535,60,0,"","","w w w w w w: w w w w w w w w w w w w w w Twt, w w w w w w w; w w w w w, w w w w w w: w w w w w, Twt w w w w w w w w w w w w w w w."
536,33,0,"","","w w w w w w w: w w w w w w w w w w w w w w, w Twt w w w w w w w w w w."
537,22,1,"","","w w w w w w w w w w, w w w w, w w w w w w w w."
538,41,0,"","","w w w w w, w w, w w w w w w? w w w w w w w w w w w w? w w w w w w, w w w w w w w w w w?"
539,26,0,"","","w w w, Twt w w, w w w w, w w w w w w w w w w w w w w w w."
540,22,0,"","","w w w w w, w w w w w w, w w w w w w, w w w w w."
541,26,0,"","","w w w w w w w w w w w w, w w w w, w w w w w, w w w w w."
542,24,0,"","","w w w w w w: w w w w w w w w w, w w w w w w w w w."
543,21,0,"","","w w w w w w w w w, w w w w, Tw wt w w w w w w."
544,35,2,"","","w w w w w, w w w w w w w w w, w Tw wt w. w w w w w w w w, w w w w w w w w w."
769,30,0,"","","w w w w w w w w w w w w w w w: w w w w w w, w w w w w w w w w."
770,17,2,"","","w w w w w w w w: w w w w w, w w w w;"
