ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,20,0,"","","w, w w, w w, w w w w w w w w w w w w w w w:"
258,14,0,"","","w w w, w w, w w w w w w w w w."
259,33,3,"","","w w w w w w w w w, w, w w w w, w w w w w w, w w w w w w w w w w w w w;"
260,26,0,"","","w w w w w w w w w w w w w w w w w w w w w w w w w w:"
261,27,0,"","","Tw wt w w w w w w w w w, w w w w w w w w w w w, w w w w w:"
262,16,0,"","","w Tw wt w w w w w w w w w w w w w;"
263,22,0,"","","w w w w w w w w w, w w w w w w w w w w w w w,"
264,22,0,"","","w w w w w w w w w w w, w w w w w w w w w w w:"
265,20,0,"","","w w w w w w w w w w w w w, w w w w w w w;"
266,29,0,"","","w w w w w w w w w w, w w w w w w w w w (w w w w w w w) w w w."
267,33,0,"","","w w w w w w w, w w w w w w w w Twt w, w w w w w w w Twt w, w w w w w w w:"
268,29,0,"","","w w w w w w w w w w w w w, w w w w, w w w w w w w w w w w w."
513,20,0,"","","w w w w, w, w w w w w w w w, w Twt w w w w w,"
514,32,0,"","","w w w w w w w w, w w w, w w w, w w w, w w w w w w, w w w w w w w w w."
515,32,0,"","","w w w w w w w w: w Tw w w w wt, w w w w w w w, w w w w w w w, w w w w;"
516,32,0,"","","w w w w w w w w w w w, w w w w; w w w w w w w w w w w, w w w w w w."
517,15,0,"","","w w w, w, w w w w w w, w w w w w?"
518,14,0,"","","w w w w w w w w w w w w w w."
519,23,0,"","","w w w w w w w w: w w w w w Tw wt, w w w w w w w w."
520,27,0,"","","w w w w w w w, w w w w w w w w w w w, w w w w w w w w w:"
521,18,0,"","","Tw wt, w w w w w w w w w w w w w w w w,"
522,24,0,"","","w w w w w w w w w w; w w w w w w w w w, w w w w w."
523,16,0,"","","w w w w w w w w w w, w w w w w w:"
524,16,0,"","","w w w w w w w w w w w, w w w w w."
525,37,3,"","","w w w w w w w w w w w w, w w w w w, w w w w w w w w w w w w w w w w w w w w:"
526,18,0,"","","w w w w w w w, w w w w w w w w w w w."
527,19,0,"","","w, w, w w, w w w w w w w w w, w w w, w w w."
528,26,0,"","","w w w w w w, w w, w w w, w w w w, w w w Twt w w w w w w w,"
529,12,0,"","","w w w, w w w w w w w w w."
769,24,0,"","","w, w, w w w, w w w w w w w w Twt w, w w w, w w Tw wt w w:"
770,17,0,"","","w w w w w w w w w w w: w w Twt w w w."
771,14,0,"","","w w w w w, w w w w, w w Twt w w."
772,22,0,"","","w w w w w w w w w, w w w w w w w w w w w w w."
773,18,0,"","","w w w w w w w w w w w, w w w w w w w."
774,33,3,"","","w w w w, w, w w w w w w w w, w w w w w w w w w w, w w w w w w w w w w."
775,17,0,"","","w w w w w w w w w: w w w w w w w w;"
776,28,0,"","","w w w w w w w w w; w w w w w w w w w, w w w w w w w w w w:"
777,17,0,"","","w w w w w w, w w w w w w w w w w w."
778,21,0,"","","w w w w w w w, w w w w, w w w w w w, w w w w."
779,19,0,"","","w w w w w w w w w w w w, w w w w, w w w."
780,24,0,"","","w w w w w w w w w w w w w w, w w w w w, w w w w w."
781,9,0,"","","w w, w, w w w w w w."
782,25,0,"","","w w w w w w w w w w w, w w w, w w w w w w, w w w w w."
783,13,0,"","","w w Twt w w w w, w w Twt w w w."
784,19,0,"","","w w w w w w w w w w w w w. w w Twt w w w."
785,18,3,"","","w w w w w w w w, w w w w w w w: w w w."
786,12,0,"","","w w w w w w w Twt w w w. w."
